order_id,order_date,ship_mode,segment,category,sub_category,product_id,cost_price,list_price,quantity,discount_percent,customer_id
56,2023-07-06,First Class,Consumer,Office Supplies,Storage,OFF-ST-10000604,200.0,210.0,6,5,4350
57,2023-09-15,First Class,Consumer,Office Supplies,Paper,OFF-PA-10001569,30.0,30.0,5,5,4274
58,2022-08-09,First Class,Consumer,Furniture,Chairs,FUR-CH-10003968,290.0,320.0,5,2,2025
59,2022-04-05,First Class,Consumer,Office Supplies,Paper,OFF-PA-10000587,10.0,10.0,2,4,3723
60,2023-06-24,First Class,Consumer,Technology,Accessories,TEC-AC-10002167,20.0,30.0,2,5,4935
61,2022-03-10,First Class,Consumer,Office Supplies,Binders,OFF-BI-10001460,40.0,50.0,4,2,2045
62,2023-04-08,First Class,Consumer,Office Supplies,Art,OFF-AR-10001868,10.0,10.0,1,5,2474
63,2023-10-16,Standard Class,Consumer,Technology,Accessories,TEC-AC-10004633,10.0,10.0,2,3,2149
64,2023-08-02,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10001078,20.0,30.0,6,2,1306
65,2022-11-05,Standard Class,Consumer,Office Supplies,Paper,OFF-PA-10003892,130.0,150.0,3,5,1385
66,2022-05-06,Standard Class,Consumer,Furniture,Furnishings,FUR-FU-10000397,70.0,80.0,4,2,566
67,2022-03-26,Standard Class,Home Office,Furniture,Chairs,FUR-CH-10001146,180.0,210.0,5,5,2106
68,2022-04-10,Standard Class,Corporate,Office Supplies,Art,OFF-AR-10002671,940.0,1110.0,8,3,2465
69,2022-08-12,Standard Class,Corporate,Technology,Phones,TEC-PH-10002726,160.0,170.0,4,3,670
70,2022-02-25,First Class,Consumer,Office Supplies,Paper,OFF-PA-10000482,70.0,80.0,2,2,1444
71,2022-11-29,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10004654,20.0,20.0,1,3,1773
72,2022-12-18,Second Class,Consumer,Office Supplies,Paper,OFF-PA-10004675,20.0,20.0,3,3,4700
73,2023-03-07,Standard Class,Consumer,Furniture,Chairs,FUR-CH-10000513,790.0,830.0,8,2,3496
74,2023-07-12,Standard Class,Consumer,Furniture,Furnishings,FUR-FU-10003708,90.0,100.0,2,3,373
75,2022-10-21,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10004123,60.0,70.0,1,2,2178
76,2023-04-17,First Class,Corporate,Office Supplies,Binders,OFF-BI-10004182,10.0,10.0,3,4,1826
77,2023-05-20,First Class,Corporate,Furniture,Furnishings,FUR-FU-10000260,10.0,10.0,3,4,1213
78,2023-05-13,First Class,Corporate,Office Supplies,Storage,OFF-ST-10000615,20.0,30.0,3,2,1223
79,2022-10-20,Second Class,Consumer,Furniture,Furnishings,FUR-FU-10003194,20.0,20.0,5,2,2719
80,2023-10-22,First Class,Corporate,Office Supplies,Appliances,OFF-AP-10002118,190.0,210.0,1,3,3661
81,2022-07-20,First Class,Corporate,Office Supplies,Binders,OFF-BI-10002309,20.0,20.0,3,2,1999
82,2022-11-16,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10002053,10.0,10.0,5,5,2574
83,2022-11-10,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10002370,20.0,20.0,1,4,36
84,2022-03-15,Standard Class,Corporate,Office Supplies,Envelopes,OFF-EN-10000927,180.0,200.0,7,3,2832
85,2023-10-03,First Class,Home Office,Office Supplies,Storage,OFF-ST-10003656,210.0,230.0,3,2,3276
86,2022-03-20,Second Class,Consumer,Furniture,Chairs,FUR-CH-10000863,260.0,300.0,2,5,4782
87,2023-12-04,Standard Class,Consumer,Technology,Accessories,TEC-AC-10001998,20.0,20.0,1,5,3517
88,2023-11-24,Standard Class,Consumer,Office Supplies,Labels,OFF-LA-10000134,10.0,10.0,2,5,736
89,2023-12-30,Second Class,Home Office,Office Supplies,Storage,OFF-ST-10003442,140.0,160.0,7,5,4361
90,2022-05-23,Standard Class,Corporate,Office Supplies,Art,OFF-AR-10004930,20.0,20.0,3,2,4681
91,2023-04-06,Standard Class,Corporate,Technology,Phones,TEC-PH-10004093,60.0,70.0,2,2,2796
92,2022-03-23,Standard Class,Corporate,Office Supplies,Paper,OFF-PA-10000304,10.0,10.0,1,2,1046
93,2023-04-07,Second Class,Consumer,Office Supplies,Paper,OFF-PA-10003177,10.0,10.0,2,2,2936
94,2022-05-13,Second Class,Consumer,Furniture,Furnishings,FUR-FU-10003799,50.0,50.0,3,5,3806
95,2022-04-23,Second Class,Consumer,Office Supplies,Binders,OFF-BI-10002852,20.0,30.0,2,3,5037
96,2023-12-17,Standard Class,Home Office,Office Supplies,Binders,OFF-BI-10004738,10.0,10.0,1,2,1692
97,2022-04-28,Second Class,Home Office,Furniture,Furnishings,FUR-FU-10000629,80.0,100.0,7,5,5056
98,2023-06-14,First Class,Consumer,Office Supplies,Binders,OFF-BI-10001721,40.0,50.0,3,4,2631
99,2023-02-05,Standard Class,Corporate,Office Supplies,Appliances,OFF-AP-10000358,70.0,80.0,6,3,4672
100,2023-12-30,Standard Class,Home Office,Office Supplies,Paper,OFF-PA-10003256,60.0,60.0,7,3,3644
101,2022-02-24,Standard Class,Home Office,Technology,Accessories,TEC-AC-10001767,80.0,100.0,3,5,1060
102,2022-07-25,Standard Class,Home Office,Office Supplies,Binders,OFF-BI-10002609,10.0,10.0,3,3,1972
103,2022-01-14,Second Class,Consumer,Office Supplies,Paper,OFF-PA-10004040,20.0,20.0,4,4,4693
104,2022-12-22,Standard Class,Consumer,Technology,Accessories,TEC-AC-10001552,220.0,240.0,6,3,2717
105,2022-06-09,Standard Class,Consumer,Furniture,Furnishings,FUR-FU-10004006,90.0,100.0,3,5,3202
106,2023-10-28,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10002794,30.0,40.0,3,5,181
107,2022-10-18,Standard Class,Consumer,Technology,Accessories,TEC-AC-10003499,60.0,70.0,8,5,5012
108,2022-11-23,Standard Class,Consumer,Technology,Phones,TEC-PH-10002844,30.0,30.0,1,3,3345
109,2023-10-12,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10000390,10.0,10.0,1,3,688
110,2023-03-17,Standard Class,Home Office,Technology,Accessories,TEC-AC-10000844,290.0,340.0,5,2,2865
111,2023-09-05,Standard Class,Corporate,Furniture,Furnishings,FUR-FU-10001934,30.0,40.0,2,2,4729
112,2022-01-28,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10000380,70.0,80.0,2,3,5009
113,2022-12-26,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10003981,30.0,30.0,6,3,4088
114,2023-06-06,Second Class,Consumer,Office Supplies,Fasteners,OFF-FA-10000621,40.0,40.0,14,2,2604
115,2023-11-08,Second Class,Consumer,Office Supplies,Envelopes,OFF-EN-10002600,10.0,10.0,2,4,552
116,2022-11-15,Second Class,Consumer,Office Supplies,Paper,OFF-PA-10004965,20.0,20.0,3,4,377
117,2022-06-30,Second Class,Consumer,Office Supplies,Envelopes,OFF-EN-10002504,120.0,130.0,6,5,337
118,2023-10-27,Standard Class,Consumer,Furniture,Tables,FUR-TA-10001768,720.0,790.0,3,4,935
119,2023-07-19,Standard Class,Corporate,Office Supplies,Binders,OFF-BI-10003650,140.0,160.0,1,5,1356
120,2023-03-30,First Class,Consumer,Furniture,Furnishings,FUR-FU-10002157,50.0,50.0,3,3,1128
121,2022-03-03,First Class,Consumer,Office Supplies,Binders,OFF-BI-10003910,20.0,30.0,4,2,1250
122,2022-10-20,First Class,Consumer,Office Supplies,Storage,OFF-ST-10000777,190.0,230.0,6,2,2299
123,2023-01-23,First Class,Consumer,Office Supplies,Envelopes,OFF-EN-10002500,110.0,120.0,9,4,2331
124,2023-01-21,First Class,Consumer,Technology,Phones,TEC-PH-10003875,60.0,70.0,7,2,4601
125,2023-07-18,Second Class,Home Office,Furniture,Chairs,FUR-CH-10004063,550.0,600.0,3,3,4244
126,2023-07-15,Standard Class,Consumer,Furniture,Tables,FUR-TA-10004534,540.0,620.0,6,4,3410
127,2022-07-14,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10003274,20.0,20.0,2,4,3430
128,2023-03-30,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10002974,200.0,240.0,7,4,2572
129,2023-09-18,Second Class,Home Office,Furniture,Chairs,FUR-CH-10001146,70.0,80.0,2,2,3626
130,2022-01-03,Second Class,Home Office,Furniture,Furnishings,FUR-FU-10003773,220.0,240.0,3,4,3247
131,2022-07-17,First Class,Corporate,Technology,Phones,TEC-PH-10002293,50.0,60.0,5,3,1180
132,2022-03-30,First Class,Corporate,Office Supplies,Paper,OFF-PA-10002377,80.0,80.0,2,4,1346
133,2022-05-01,First Class,Corporate,Office Supplies,Fasteners,OFF-FA-10002780,20.0,20.0,9,5,1943
134,2023-04-29,Standard Class,Consumer,Office Supplies,Paper,OFF-PA-10001804,20.0,20.0,3,4,566
135,2022-10-28,Standard Class,Consumer,Office Supplies,Paper,OFF-PA-10001736,30.0,40.0,1,5,1906
136,2022-03-05,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10001149,10.0,10.0,4,5,1208
137,2022-03-28,Standard Class,Consumer,Office Supplies,Fasteners,OFF-FA-10002988,10.0,10.0,2,5,1317
138,2023-10-16,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10004781,70.0,80.0,3,2,630
139,2022-05-15,Standard Class,Consumer,Office Supplies,Supplies,OFF-SU-10001218,60.0,70.0,6,5,381
140,2023-06-06,Standard Class,Consumer,Furniture,Furnishings,FUR-FU-10001706,40.0,40.0,14,2,3575
141,2022-06-10,Second Class,Corporate,Furniture,Furnishings,FUR-FU-10004848,60.0,80.0,2,2,3741
142,2022-07-22,Standard Class,Corporate,Office Supplies,Art,OFF-AR-10000940,10.0,10.0,3,3,726
143,2023-12-27,Standard Class,Corporate,Office Supplies,Envelopes,OFF-EN-10004030,10.0,10.0,3,2,860
144,2023-11-29,Standard Class,Corporate,Office Supplies,Paper,OFF-PA-10004327,130.0,140.0,3,5,4275
145,2022-03-19,Standard Class,Consumer,Office Supplies,Appliances,OFF-AP-10001058,780.0,840.0,3,2,2258
146,2023-06-04,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10003656,600.0,670.0,7,3,2068
147,2023-05-31,Standard Class,Home Office,Furniture,Furnishings,FUR-FU-10000521,80.0,90.0,4,4,2930
148,2022-06-12,Standard Class,Corporate,Technology,Phones,TEC-PH-10000215,350.0,380.0,11,4,169
149,2022-05-18,Standard Class,Corporate,Technology,Phones,TEC-PH-10001448,140.0,150.0,3,5,3184
150,2022-01-23,Standard Class,Corporate,Furniture,Chairs,FUR-CH-10000454,1580.0,1950.0,8,3,967
151,2023-08-21,Standard Class,Corporate,Office Supplies,Binders,OFF-BI-10002735,150.0,170.0,5,4,4696
152,2023-08-31,First Class,Home Office,Office Supplies,Appliances,OFF-AP-10000326,140.0,160.0,5,5,5
153,2022-10-25,First Class,Home Office,Technology,Phones,TEC-PH-10001254,160.0,200.0,2,2,736
154,2022-10-07,First Class,Corporate,Office Supplies,Paper,OFF-PA-10001950,50.0,60.0,7,4,2338
155,2023-03-25,First Class,Corporate,Office Supplies,Paper,OFF-PA-10002254,100.0,110.0,4,4,1694
156,2023-03-27,First Class,Corporate,Office Supplies,Storage,OFF-ST-10001590,60.0,80.0,6,4,871
157,2022-05-03,Standard Class,Home Office,Office Supplies,Art,OFF-AR-10001547,10.0,10.0,3,3,617
158,2022-05-18,Second Class,Consumer,Furniture,Chairs,FUR-CH-10004063,380.0,460.0,2,2,3898
159,2022-04-25,Standard Class,Consumer,Office Supplies,Labels,OFF-LA-10002475,10.0,10.0,2,3,698
160,2022-06-30,Standard Class,Consumer,Technology,Phones,TEC-PH-10004536,870.0,940.0,7,5,2974
161,2022-01-10,First Class,Consumer,Office Supplies,Paper,OFF-PA-10002751,10.0,10.0,1,4,2318
162,2023-11-27,Second Class,Consumer,Technology,Accessories,TEC-AC-10003657,40.0,50.0,2,5,207
163,2022-02-16,Standard Class,Consumer,Office Supplies,Envelopes,OFF-EN-10001990,30.0,30.0,5,4,4733
164,2022-08-14,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10004002,20.0,30.0,2,3,4744
165,2023-10-14,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10004441,10.0,10.0,3,5,3000
166,2022-10-16,Standard Class,Consumer,Technology,Machines,TEC-MA-10000822,6850.0,8160.0,8,4,3459
167,2022-11-20,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10000991,250.0,280.0,3,4,3414
168,2023-11-04,Standard Class,Consumer,Furniture,Chairs,FUR-CH-10004287,1620.0,1740.0,9,4,1556
169,2023-06-16,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10002656,30.0,30.0,6,4,3876
170,2022-10-20,Standard Class,Consumer,Office Supplies,Appliances,OFF-AP-10002518,150.0,180.0,5,2,1604
171,2022-07-12,Standard Class,Consumer,Technology,Phones,TEC-PH-10003931,120.0,140.0,3,5,1292
172,2022-01-28,Standard Class,Consumer,Office Supplies,Paper,OFF-PA-10000659,20.0,20.0,3,2,569
173,2023-10-10,Standard Class,Consumer,Office Supplies,Paper,OFF-PA-10001144,100.0,110.0,2,4,3069
174,2022-10-05,Standard Class,Consumer,Furniture,Chairs,FUR-CH-10003817,290.0,340.0,7,2,5004
175,2023-01-02,Standard Class,Corporate,Office Supplies,Appliances,OFF-AP-10000891,50.0,50.0,2,4,785
176,2023-04-07,Standard Class,Corporate,Office Supplies,Labels,OFF-LA-10003148,20.0,20.0,4,5,1771
177,2022-04-21,Second Class,Consumer,Office Supplies,Appliances,OFF-AP-10002684,90.0,100.0,4,2,1842
178,2023-10-28,Second Class,Consumer,Furniture,Chairs,FUR-CH-10004698,370.0,400.0,7,5,283
179,2022-04-18,Second Class,Consumer,Office Supplies,Supplies,OFF-SU-10002189,20.0,20.0,5,3,799
180,2022-03-08,Standard Class,Home Office,Office Supplies,Art,OFF-AR-10001940,10.0,10.0,1,5,1415
181,2023-06-08,Second Class,Corporate,Office Supplies,Storage,OFF-ST-10003455,20.0,20.0,2,5,4812
182,2022-06-25,Second Class,Corporate,Technology,Accessories,TEC-AC-10004659,380.0,410.0,7,3,4327
183,2022-01-10,Second Class,Home Office,Technology,Phones,TEC-PH-10003273,470.0,500.0,4,5,3462
184,2023-10-17,Second Class,Home Office,Technology,Phones,TEC-PH-10004896,140.0,150.0,5,2,546
185,2023-02-23,Second Class,Home Office,Technology,Accessories,TEC-AC-10002345,30.0,30.0,2,5,1848
186,2022-10-19,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10001890,10.0,10.0,2,2,4919
187,2022-08-22,Standard Class,Home Office,Technology,Accessories,TEC-AC-10002323,160.0,180.0,8,3,4759
188,2023-10-11,Standard Class,Corporate,Office Supplies,Storage,OFF-ST-10001328,40.0,40.0,3,4,37
189,2022-12-06,Standard Class,Corporate,Office Supplies,Paper,OFF-PA-10001950,20.0,20.0,3,3,861
190,2023-12-09,First Class,Home Office,Furniture,Bookcases,FUR-BO-10002613,820.0,900.0,4,3,3296
191,2022-07-12,First Class,Home Office,Technology,Phones,TEC-PH-10001552,60.0,70.0,6,4,654
192,2022-06-23,First Class,Home Office,Office Supplies,Paper,OFF-PA-10000061,50.0,50.0,8,5,3280
193,2023-11-04,First Class,Home Office,Furniture,Bookcases,FUR-BO-10002545,520.0,630.0,3,2,2001
194,2022-11-11,First Class,Home Office,Office Supplies,Art,OFF-AR-10003514,20.0,20.0,5,3,1528
195,2023-01-07,Standard Class,Corporate,Office Supplies,Envelopes,OFF-EN-10001509,10.0,10.0,7,2,3100
196,2022-10-26,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10004685,10.0,10.0,2,5,2305
197,2023-11-03,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10004027,10.0,10.0,3,2,4632
198,2023-03-05,Standard Class,Home Office,Office Supplies,Storage,OFF-ST-10001414,40.0,50.0,3,5,3215
199,2022-12-21,Standard Class,Corporate,Office Supplies,Binders,OFF-BI-10000343,10.0,10.0,2,5,1932
200,2022-06-16,Standard Class,Corporate,Office Supplies,Paper,OFF-PA-10002749,20.0,20.0,3,2,1242
201,2022-12-11,Standard Class,Consumer,Office Supplies,Paper,OFF-PA-10002666,20.0,20.0,3,5,2988
202,2022-07-13,First Class,Consumer,Furniture,Tables,FUR-TA-10004289,200.0,220.0,2,3,2004
203,2022-12-31,First Class,Consumer,Office Supplies,Appliances,OFF-AP-10003622,20.0,20.0,1,5,2009
204,2022-03-12,Second Class,Consumer,Office Supplies,Appliances,OFF-AP-10003217,60.0,70.0,2,2,647
205,2023-10-14,Standard Class,Corporate,Furniture,Furnishings,FUR-FU-10002960,40.0,40.0,7,3,3716
206,2023-07-10,Standard Class,Consumer,Technology,Phones,TEC-PH-10001918,370.0,440.0,4,3,339
207,2023-12-01,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10000642,70.0,80.0,4,4,2231
208,2023-08-08,Standard Class,Consumer,Technology,Phones,TEC-PH-10001700,120.0,130.0,2,3,4638
209,2022-08-19,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10003274,20.0,20.0,4,3,2055
210,2023-12-30,Standard Class,Consumer,Office Supplies,Fasteners,OFF-FA-10000134,50.0,50.0,9,2,925
211,2022-07-17,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10001522,80.0,90.0,1,5,3717
212,2023-10-07,Second Class,Corporate,Technology,Accessories,TEC-AC-10001266,20.0,20.0,2,4,4214
213,2023-04-22,Standard Class,Corporate,Office Supplies,Labels,OFF-LA-10004544,20.0,20.0,2,4,44
214,2023-04-22,Standard Class,Corporate,Furniture,Bookcases,FUR-BO-10004695,390.0,450.0,5,5,3496
215,2023-11-20,Standard Class,Corporate,Technology,Phones,TEC-PH-10002844,50.0,60.0,3,3,4780
216,2023-03-31,Standard Class,Corporate,Technology,Machines,TEC-MA-10000864,1040.0,1190.0,9,4,1392
217,2022-08-29,Standard Class,Corporate,Technology,Accessories,TEC-AC-10000109,80.0,90.0,2,5,2037
218,2022-05-06,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10001328,80.0,90.0,6,3,605
219,2023-08-10,Standard Class,Consumer,Technology,Phones,TEC-PH-10002563,250.0,300.0,3,4,5022
220,2023-04-24,First Class,Consumer,Office Supplies,Fasteners,OFF-FA-10000585,10.0,10.0,2,2,126
221,2022-03-24,First Class,Consumer,Office Supplies,Paper,OFF-PA-10004000,20.0,20.0,6,4,4370
222,2023-03-26,First Class,Consumer,Office Supplies,Binders,OFF-BI-10002852,20.0,20.0,4,3,3506
223,2022-04-18,First Class,Consumer,Furniture,Furnishings,FUR-FU-10000087,60.0,70.0,4,3,578
224,2023-03-17,First Class,Consumer,Technology,Machines,TEC-MA-10001148,410.0,480.0,4,4,84
225,2023-11-19,First Class,Consumer,Office Supplies,Art,OFF-AR-10001958,30.0,30.0,2,4,3828
226,2023-11-18,Standard Class,Corporate,Office Supplies,Art,OFF-AR-10001026,15.0,15.0,1,2,2674
227,2023-04-22,Standard Class,Corporate,Furniture,Tables,FUR-TA-10003748,510.0,620.0,5,2,4313
228,2022-04-22,Standard Class,Corporate,Office Supplies,Storage,OFF-ST-10002485,20.0,20.0,1,3,2310
229,2022-02-17,Standard Class,Consumer,Furniture,Chairs,FUR-CH-10004860,130.0,160.0,2,2,1470
230,2023-10-02,Standard Class,Consumer,Furniture,Chairs,FUR-CH-10004477,360.0,390.0,8,2,1607
231,2023-07-21,Standard Class,Corporate,Office Supplies,Binders,OFF-BI-10001679,20.0,20.0,7,5,4101
232,2023-01-18,Standard Class,Home Office,Furniture,Tables,FUR-TA-10001705,210.0,230.0,2,4,3776
233,2023-10-19,Standard Class,Home Office,Furniture,Tables,FUR-TA-10003473,510.0,620.0,3,4,4808
234,2023-09-13,Standard Class,Home Office,Office Supplies,Binders,OFF-BI-10001679,10.0,10.0,2,2,2951
235,2023-11-10,Standard Class,Home Office,Furniture,Furnishings,FUR-FU-10004017,250.0,260.0,3,5,2030
236,2023-11-26,Standard Class,Home Office,Technology,Accessories,TEC-AC-10003832,500.0,620.0,3,4,4335
237,2022-01-02,Standard Class,Corporate,Office Supplies,Paper,OFF-PA-10002479,10.0,10.0,2,4,5082
238,2022-01-19,Second Class,Consumer,Office Supplies,Paper,OFF-PA-10003349,30.0,30.0,5,4,360
239,2023-12-13,Second Class,Consumer,Furniture,Furnishings,FUR-FU-10000576,340.0,420.0,5,2,4413
240,2023-01-20,Second Class,Consumer,Furniture,Furnishings,FUR-FU-10004351,10.0,10.0,3,2,4057
241,2023-04-25,Second Class,Consumer,Technology,Phones,TEC-PH-10000011,30.0,30.0,2,3,758
242,2023-05-27,Second Class,Consumer,Furniture,Tables,FUR-TA-10002607,150.0,180.0,5,3,2371
243,2022-11-08,Second Class,Consumer,Furniture,Furnishings,FUR-FU-10002505,10.0,10.0,3,4,431
244,2022-01-08,Second Class,Consumer,Office Supplies,Art,OFF-AR-10004685,10.0,10.0,2,3,2241
245,2022-04-20,Second Class,Home Office,Furniture,Chairs,FUR-CH-10004063,1620.0,2000.0,7,2,154
246,2022-11-09,Second Class,Home Office,Office Supplies,Storage,OFF-ST-10002276,150.0,170.0,2,4,590
247,2023-04-29,Second Class,Home Office,Office Supplies,Paper,OFF-PA-10004082,40.0,50.0,6,5,4018
248,2023-04-28,Second Class,Home Office,Office Supplies,Appliances,OFF-AP-10002945,1380.0,1500.0,5,5,4339
249,2022-09-26,Second Class,Home Office,Office Supplies,Paper,OFF-PA-10000061,20.0,30.0,4,3,3030
