Order Id,Order Date,Ship Mode,Segment,Category,Sub Category,Product Id,cost price,List Price,Quantity,Discount Percent,Customer ID
40,20-01-2022,Standard Class,Home Office,Furniture,Chairs,FUR-CH-10004218,200,210,3,2,4785
41,29-06-2023,Standard Class,Home Office,Technology,Phones,TEC-PH-10000486,350,370,4,5,4548
42,28-06-2022,Standard Class,Corporate,Technology,Phones,TEC-PH-10004093,140,150,4,3,217
43,09-02-2023,Standard Class,Corporate,Office Supplies,Storage,OFF-ST-10003479,70,80,2,5,111
44,18-09-2023,Standard Class,Corporate,Office Supplies,Storage,OFF-ST-10003282,90,100,2,4,3003
45,11-11-2022,First Class,Corporate,Technology,Accessories,TEC-AC-10000171,40,50,2,2,240
46,27-05-2022,First Class,Corporate,Office Supplies,Binders,OFF-BI-10003291,20,20,2,5,4734
47,03-02-2023,Second Class,Consumer,Office Supplies,Storage,OFF-ST-10001713,180,210,4,4,1943
48,16-02-2022,Standard Class,Consumer,Technology,Accessories,TEC-AC-10002167,50,50,3,5,3852
49,06-05-2022,Standard Class,Consumer,Technology,Phones,TEC-PH-10003988,20,20,2,4,970
50,18-06-2023,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10004410,30,40,6,4,1341
51,11-01-2022,Standard Class,Consumer,Office Supplies,Labels,OFF-LA-10002762,70,80,6,4,273
52,09-09-2023,Standard Class,Consumer,Furniture,Furnishings,FUR-FU-10001706,10,10,2,4,3115
53,31-01-2022,Standard Class,Consumer,Furniture,Chairs,FUR-CH-10003061,70,90,1,5,4744
54,30-07-2023,Standard Class,Corporate,Office Supplies,Fasteners,OFF-FA-10000304,20,20,7,3,1881
55,17-10-2023,Standard Class,Corporate,Technology,Phones,TEC-PH-10002447,850,1030,5,4,817
56,06-07-2023,First Class,Consumer,Office Supplies,Storage,OFF-ST-10000604,200,210,6,5,4350
57,15-09-2023,First Class,Consumer,Office Supplies,Paper,OFF-PA-10001569,30,30,5,5,4274
58,09-08-2022,First Class,Consumer,Furniture,Chairs,FUR-CH-10003968,290,320,5,2,2025
59,05-04-2022,First Class,Consumer,Office Supplies,Paper,OFF-PA-10000587,10,10,2,4,3723
60,24-06-2023,First Class,Consumer,Technology,Accessories,TEC-AC-10002167,20,30,2,5,4935
61,10-03-2022,First Class,Consumer,Office Supplies,Binders,OFF-BI-10001460,40,50,4,2,2045
62,08-04-2023,First Class,Consumer,Office Supplies,Art,OFF-AR-10001868,0,0,1,5,2474
63,16-10-2023,Standard Class,Consumer,Technology,Accessories,TEC-AC-10004633,10,10,2,3,2149
64,02-08-2023,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10001078,20,30,6,2,1306
65,05-11-2022,Standard Class,Consumer,Office Supplies,Paper,OFF-PA-10003892,130,150,3,5,1385
66,06-05-2022,Standard Class,Consumer,Furniture,Furnishings,FUR-FU-10000397,70,80,4,2,566
67,26-03-2022,Standard Class,Home Office,Furniture,Chairs,FUR-CH-10001146,180,210,5,5,2106
68,10-04-2022,Standard Class,Corporate,Office Supplies,Art,OFF-AR-10002671,940,1110,8,3,2465
69,12-08-2022,Standard Class,Corporate,Technology,Phones,TEC-PH-10002726,160,170,4,3,670
70,25-02-2022,First Class,Consumer,Office Supplies,Paper,OFF-PA-10000482,70,80,2,2,1444
71,29-11-2022,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10004654,0,0,1,3,1773
72,18-12-2022,Second Class,Consumer,Office Supplies,Paper,OFF-PA-10004675,20,20,3,3,4700
73,07-03-2023,Standard Class,Consumer,Furniture,Chairs,FUR-CH-10000513,790,830,8,2,3496
74,12-07-2023,Standard Class,Consumer,Furniture,Furnishings,FUR-FU-10003708,90,100,2,3,373
75,21-10-2022,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10004123,60,70,1,2,2178
76,17-04-2023,First Class,Corporate,Office Supplies,Binders,OFF-BI-10004182,0,0,3,4,1826
77,20-05-2023,First Class,Corporate,Furniture,Furnishings,FUR-FU-10000260,10,10,3,4,1213
78,13-05-2023,First Class,Corporate,Office Supplies,Storage,OFF-ST-10000615,20,30,3,2,1223
79,20-10-2022,Second Class,Consumer,Furniture,Furnishings,FUR-FU-10003194,20,20,5,2,2719
80,22-10-2023,First Class,Corporate,Office Supplies,Appliances,OFF-AP-10002118,190,210,1,3,3661
81,20-07-2022,First Class,Corporate,Office Supplies,Binders,OFF-BI-10002309,20,20,3,2,1999
82,16-11-2022,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10002053,10,10,5,5,2574
83,10-11-2022,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10002370,20,20,1,4,36
84,15-03-2022,Standard Class,Corporate,Office Supplies,Envelopes,OFF-EN-10000927,180,200,7,3,2832
85,03-10-2023,First Class,Home Office,Office Supplies,Storage,OFF-ST-10003656,210,230,3,2,3276
86,20-03-2022,Second Class,Consumer,Furniture,Chairs,FUR-CH-10000863,260,300,2,5,4782
87,04-12-2023,Standard Class,Consumer,Technology,Accessories,TEC-AC-10001998,20,20,1,5,3517
88,24-11-2023,Standard Class,Consumer,Office Supplies,Labels,OFF-LA-10000134,10,10,2,5,736
89,30-12-2023,Second Class,Home Office,Office Supplies,Storage,OFF-ST-10003442,140,160,7,5,4361
90,23-05-2022,Standard Class,Corporate,Office Supplies,Art,OFF-AR-10004930,20,20,3,2,4681
91,06-04-2023,Standard Class,Corporate,Technology,Phones,TEC-PH-10004093,60,70,2,2,2796
92,23-03-2022,Standard Class,Corporate,Office Supplies,Paper,OFF-PA-10000304,10,10,1,2,1046
93,07-04-2023,Second Class,Consumer,Office Supplies,Paper,OFF-PA-10003177,10,10,2,2,2936
94,13-05-2022,Second Class,Consumer,Furniture,Furnishings,FUR-FU-10003799,50,50,3,5,3806
95,23-04-2022,Second Class,Consumer,Office Supplies,Binders,OFF-BI-10002852,20,30,2,3,5037
96,17-12-2023,Standard Class,Home Office,Office Supplies,Binders,OFF-BI-10004738,10,10,1,2,1692
97,28-04-2022,Second Class,Home Office,Furniture,Furnishings,FUR-FU-10000629,80,100,7,5,5056
98,14-06-2023,First Class,Consumer,Office Supplies,Binders,OFF-BI-10001721,40,50,3,4,2631
99,05-02-2023,Standard Class,Corporate,Office Supplies,Appliances,OFF-AP-10000358,70,80,6,3,4672
100,30-12-2023,Standard Class,Home Office,Office Supplies,Paper,OFF-PA-10003256,60,60,7,3,3644
101,24-02-2022,Standard Class,Home Office,Technology,Accessories,TEC-AC-10001767,80,100,3,5,1060
102,25-07-2022,Standard Class,Home Office,Office Supplies,Binders,OFF-BI-10002609,0,0,3,3,1972
103,14-01-2022,Second Class,Consumer,Office Supplies,Paper,OFF-PA-10004040,20,20,4,4,4693
104,22-12-2022,Standard Class,Consumer,Technology,Accessories,TEC-AC-10001552,220,240,6,3,2717
105,09-06-2022,Standard Class,Consumer,Furniture,Furnishings,FUR-FU-10004006,90,100,3,5,3202
106,28-10-2023,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10002794,30,40,3,5,181
107,18-10-2022,Standard Class,Consumer,Technology,Accessories,TEC-AC-10003499,60,70,8,5,5012
108,23-11-2022,Standard Class,Consumer,Technology,Phones,TEC-PH-10002844,30,30,1,3,3345
109,12-10-2023,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10000390,0,0,1,3,688
110,17-03-2023,Standard Class,Home Office,Technology,Accessories,TEC-AC-10000844,290,340,5,2,2865
111,05-09-2023,Standard Class,Corporate,Furniture,Furnishings,FUR-FU-10001934,30,40,2,2,4729
112,28-01-2022,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10000380,70,80,2,3,5009
113,26-12-2022,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10003981,30,30,6,3,4088
114,06-06-2023,Second Class,Consumer,Office Supplies,Fasteners,OFF-FA-10000621,40,40,14,2,2604
115,08-11-2023,Second Class,Consumer,Office Supplies,Envelopes,OFF-EN-10002600,0,0,2,4,552
116,15-11-2022,Second Class,Consumer,Office Supplies,Paper,OFF-PA-10004965,20,20,3,4,377
117,30-06-2022,Second Class,Consumer,Office Supplies,Envelopes,OFF-EN-10002504,120,130,6,5,337
118,27-10-2023,Standard Class,Consumer,Furniture,Tables,FUR-TA-10001768,720,790,3,4,935
119,19-07-2023,,Corporate,Office Supplies,Binders,OFF-BI-10003650,140,160,1,5,1356
120,30-03-2023,First Class,Consumer,Furniture,Furnishings,FUR-FU-10002157,50,50,3,3,1128
121,03-03-2022,First Class,Consumer,Office Supplies,Binders,OFF-BI-10003910,20,30,4,2,1250
122,20-10-2022,First Class,Consumer,Office Supplies,Storage,OFF-ST-10000777,190,230,6,2,2299
123,23-01-2023,First Class,Consumer,Office Supplies,Envelopes,OFF-EN-10002500,110,120,9,4,2331
124,21-01-2023,First Class,Consumer,Technology,Phones,TEC-PH-10003875,60,70,7,2,4601
125,18-07-2023,Second Class,Home Office,Furniture,Chairs,FUR-CH-10004063,550,600,3,3,4244
126,15-07-2023,Standard Class,Consumer,Furniture,Tables,FUR-TA-10004534,540,620,6,4,3410
127,14-07-2022,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10003274,0,0,2,4,3430
128,30-03-2023,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10002974,200,240,7,4,2572
129,18-09-2023,Second Class,Home Office,Furniture,Chairs,FUR-CH-10001146,70,80,2,2,3626
130,03-01-2022,Second Class,Home Office,Furniture,Furnishings,FUR-FU-10003773,220,240,3,4,3247
131,17-07-2022,First Class,Corporate,Technology,Phones,TEC-PH-10002293,50,60,5,3,1180
132,30-03-2022,First Class,Corporate,Office Supplies,Paper,OFF-PA-10002377,80,80,2,4,1346
133,01-05-2022,First Class,Corporate,Office Supplies,Fasteners,OFF-FA-10002780,20,20,9,5,1943
134,29-04-2023,Standard Class,Consumer,Office Supplies,Paper,OFF-PA-10001804,20,20,3,4,566
135,28-10-2022,Standard Class,Consumer,Office Supplies,Paper,OFF-PA-10001736,30,40,1,5,1906
136,05-03-2022,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10001149,10,10,4,5,1208
137,28-03-2022,Standard Class,Consumer,Office Supplies,Fasteners,OFF-FA-10002988,0,0,2,5,1317
138,16-10-2023,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10004781,70,80,3,2,630
139,15-05-2022,Standard Class,Consumer,Office Supplies,Supplies,OFF-SU-10001218,60,70,6,5,381
140,06-06-2023,Standard Class,Consumer,Furniture,Furnishings,FUR-FU-10001706,40,40,14,2,3575
141,10-06-2022,Second Class,Corporate,Furniture,Furnishings,FUR-FU-10004848,60,80,2,2,3741
142,22-07-2022,Standard Class,Corporate,Office Supplies,Art,OFF-AR-10000940,10,10,3,3,726
143,27-12-2023,Standard Class,Corporate,Office Supplies,Envelopes,OFF-EN-10004030,10,10,3,2,860
144,29-11-2023,Standard Class,Corporate,Office Supplies,Paper,OFF-PA-10004327,130,140,3,5,4275
145,19-03-2022,Standard Class,Consumer,Office Supplies,Appliances,OFF-AP-10001058,780,840,3,2,2258
146,04-06-2023,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10003656,600,670,7,3,2068
147,31-05-2023,Standard Class,Home Office,Furniture,Furnishings,FUR-FU-10000521,80,90,4,4,2930
148,12-06-2022,Standard Class,Corporate,Technology,Phones,TEC-PH-10000215,350,380,11,4,169
149,18-05-2022,Standard Class,Corporate,Technology,Phones,TEC-PH-10001448,140,150,3,5,3184
150,23-01-2022,Standard Class,Corporate,Furniture,Chairs,FUR-CH-10000454,1580,1950,8,3,967
151,21-08-2023,Standard Class,Corporate,Office Supplies,Binders,OFF-BI-10002735,150,170,5,4,4696
152,31-08-2023,First Class,Home Office,Office Supplies,Appliances,OFF-AP-10000326,140,160,5,5,5
153,25-10-2022,First Class,Home Office,Technology,Phones,TEC-PH-10001254,160,200,2,2,736
154,07-10-2022,First Class,Corporate,Office Supplies,Paper,OFF-PA-10001950,50,60,7,4,2338
155,25-03-2023,First Class,Corporate,Office Supplies,Paper,OFF-PA-10002254,100,110,4,4,1694
156,27-03-2023,First Class,Corporate,Office Supplies,Storage,OFF-ST-10001590,60,80,6,4,871
157,03-05-2022,Standard Class,Home Office,Office Supplies,Art,OFF-AR-10001547,10,10,3,3,617
158,18-05-2022,Second Class,Consumer,Furniture,Chairs,FUR-CH-10004063,380,460,2,2,3898
159,25-04-2022,Standard Class,Consumer,Office Supplies,Labels,OFF-LA-10002475,10,10,2,3,698
160,30-06-2022,Standard Class,Consumer,Technology,Phones,TEC-PH-10004536,870,940,7,5,2974
161,10-01-2022,First Class,Consumer,Office Supplies,Paper,OFF-PA-10002751,10,10,1,4,2318
162,27-11-2023,Second Class,Consumer,Technology,Accessories,TEC-AC-10003657,40,50,2,5,207
163,16-02-2022,Standard Class,Consumer,Office Supplies,Envelopes,OFF-EN-10001990,30,30,5,4,4733
164,14-08-2022,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10004002,20,30,2,3,4744
165,14-10-2023,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10004441,10,10,3,5,3000
166,16-10-2022,Standard Class,Consumer,Technology,Machines,TEC-MA-10000822,6850,8160,8,4,3459
167,20-11-2022,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10000991,250,280,3,4,3414
168,04-11-2023,Standard Class,Consumer,Furniture,Chairs,FUR-CH-10004287,1620,1740,9,4,1556
169,16-06-2023,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10002656,30,30,6,4,3876
170,20-10-2022,Standard Class,Consumer,Office Supplies,Appliances,OFF-AP-10002518,150,180,5,2,1604
171,12-07-2022,Standard Class,Consumer,Technology,Phones,TEC-PH-10003931,120,140,3,5,1292
172,28-01-2022,Standard Class,Consumer,Office Supplies,Paper,OFF-PA-10000659,20,20,3,2,569
173,10-10-2023,Standard Class,Consumer,Office Supplies,Paper,OFF-PA-10001144,100,110,2,4,3069
174,05-10-2022,Standard Class,Consumer,Furniture,Chairs,FUR-CH-10003817,290,340,7,2,5004
175,02-01-2023,Standard Class,Corporate,Office Supplies,Appliances,OFF-AP-10000891,50,50,2,4,785
176,07-04-2023,Standard Class,Corporate,Office Supplies,Labels,OFF-LA-10003148,20,20,4,5,1771
177,21-04-2022,Second Class,Consumer,Office Supplies,Appliances,OFF-AP-10002684,90,100,4,2,1842
178,28-10-2023,Second Class,Consumer,Furniture,Chairs,FUR-CH-10004698,370,400,7,5,283
179,18-04-2022,Second Class,Consumer,Office Supplies,Supplies,OFF-SU-10002189,20,20,5,3,799
180,08-03-2022,Standard Class,Home Office,Office Supplies,Art,OFF-AR-10001940,0,0,1,5,1415
181,08-06-2023,Second Class,Corporate,Office Supplies,Storage,OFF-ST-10003455,20,20,2,5,4812
182,25-06-2022,Second Class,Corporate,Technology,Accessories,TEC-AC-10004659,380,410,7,3,4327
183,10-01-2022,Second Class,Home Office,Technology,Phones,TEC-PH-10003273,470,500,4,5,3462
184,17-10-2023,Second Class,Home Office,Technology,Phones,TEC-PH-10004896,140,150,5,2,546
185,23-02-2023,Second Class,Home Office,Technology,Accessories,TEC-AC-10002345,30,30,2,5,1848
186,19-10-2022,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10001890,10,10,2,2,4919
187,22-08-2022,Standard Class,Home Office,Technology,Accessories,TEC-AC-10002323,160,180,8,3,4759
188,11-10-2023,Standard Class,Corporate,Office Supplies,Storage,OFF-ST-10001328,40,40,3,4,37
189,06-12-2022,Standard Class,Corporate,Office Supplies,Paper,OFF-PA-10001950,20,20,3,3,861
190,09-12-2023,First Class,Home Office,Furniture,Bookcases,FUR-BO-10002613,820,900,4,3,3296
191,12-07-2022,First Class,Home Office,Technology,Phones,TEC-PH-10001552,60,70,6,4,654
192,23-06-2022,First Class,Home Office,Office Supplies,Paper,OFF-PA-10000061,50,50,8,5,3280
193,04-11-2023,First Class,Home Office,Furniture,Bookcases,FUR-BO-10002545,520,630,3,2,2001
194,11-11-2022,First Class,Home Office,Office Supplies,Art,OFF-AR-10003514,20,20,5,3,1528
195,07-01-2023,Standard Class,Corporate,Office Supplies,Envelopes,OFF-EN-10001509,10,10,7,2,3100
196,26-10-2022,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10004685,10,10,2,5,2305
197,03-11-2023,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10004027,10,10,3,2,4632
198,05-03-2023,Standard Class,Home Office,Office Supplies,Storage,OFF-ST-10001414,40,50,3,5,3215
199,21-12-2022,Standard Class,Corporate,Office Supplies,Binders,OFF-BI-10000343,0,0,2,5,1932
200,16-06-2022,Standard Class,Corporate,Office Supplies,Paper,OFF-PA-10002749,20,20,3,2,1242
201,11-12-2022,Standard Class,Consumer,Office Supplies,Paper,OFF-PA-10002666,20,20,3,5,2988
202,13-07-2022,First Class,Consumer,Furniture,Tables,FUR-TA-10004289,200,220,2,3,2004
203,31-12-2022,First Class,Consumer,Office Supplies,Appliances,OFF-AP-10003622,0,0,1,5,2009
204,12-03-2022,Second Class,Consumer,Office Supplies,Appliances,OFF-AP-10003217,60,70,2,2,647
205,14-10-2023,Standard Class,Corporate,Furniture,Furnishings,FUR-FU-10002960,40,40,7,3,3716
206,10-07-2023,Standard Class,Consumer,Technology,Phones,TEC-PH-10001918,370,440,4,3,339
207,01-12-2023,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10000642,70,80,4,4,2231
208,08-08-2023,Standard Class,Consumer,Technology,Phones,TEC-PH-10001700,120,130,2,3,4638
209,19-08-2022,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10003274,20,20,4,3,2055
210,30-12-2023,Standard Class,Consumer,Office Supplies,Fasteners,OFF-FA-10000134,50,50,9,2,925
211,17-07-2022,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10001522,80,90,1,5,3717
212,07-10-2023,Second Class,Corporate,Technology,Accessories,TEC-AC-10001266,20,20,2,4,4214
213,22-04-2023,Standard Class,Corporate,Office Supplies,Labels,OFF-LA-10004544,20,20,2,4,44
214,22-04-2023,Standard Class,Corporate,Furniture,Bookcases,FUR-BO-10004695,390,450,5,5,3496
215,20-11-2023,Standard Class,Corporate,Technology,Phones,TEC-PH-10002844,50,60,3,3,4780
216,31-03-2023,Standard Class,Corporate,Technology,Machines,TEC-MA-10000864,1040,1190,9,4,1392
217,29-08-2022,Standard Class,Corporate,Technology,Accessories,TEC-AC-10000109,80,90,2,5,2037
218,06-05-2022,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10001328,80,90,6,3,605
219,10-08-2023,Standard Class,Consumer,Technology,Phones,TEC-PH-10002563,250,300,3,4,5022
220,24-04-2023,First Class,Consumer,Office Supplies,Fasteners,OFF-FA-10000585,10,10,2,2,126
221,24-03-2022,First Class,Consumer,Office Supplies,Paper,OFF-PA-10004000,20,20,6,4,4370
222,26-03-2023,First Class,Consumer,Office Supplies,Binders,OFF-BI-10002852,20,20,4,3,3506
223,18-04-2022,First Class,Consumer,Furniture,Furnishings,FUR-FU-10000087,60,70,4,3,578
224,17-03-2023,First Class,Consumer,Technology,Machines,TEC-MA-10001148,410,480,4,4,84
225,19-11-2023,First Class,Consumer,Office Supplies,Art,OFF-AR-10001958,30,30,2,4,3828
226,18-11-2023,Standard Class,Corporate,Office Supplies,Art,OFF-AR-10001026,0,0,1,2,2674
227,22-04-2023,Standard Class,Corporate,Furniture,Tables,FUR-TA-10003748,510,620,5,2,4313
228,22-04-2022,Standard Class,Corporate,Office Supplies,Storage,OFF-ST-10002485,20,20,1,3,2310
229,17-02-2022,Standard Class,Consumer,Furniture,Chairs,FUR-CH-10004860,130,160,2,2,1470
230,02-10-2023,Standard Class,Consumer,Furniture,Chairs,FUR-CH-10004477,360,390,8,2,1607
231,21-07-2023,Standard Class,Corporate,Office Supplies,Binders,OFF-BI-10001679,20,20,7,5,4101
232,18-01-2023,Standard Class,Home Office,Furniture,Tables,FUR-TA-10001705,210,230,2,4,3776
233,19-10-2023,Standard Class,Home Office,Furniture,Tables,FUR-TA-10003473,510,620,3,4,4808
234,13-09-2023,Standard Class,Home Office,Office Supplies,Binders,OFF-BI-10001679,10,10,2,2,2951
235,10-11-2023,Standard Class,Home Office,Furniture,Furnishings,FUR-FU-10004017,250,260,3,5,2030
236,26-11-2023,Standard Class,Home Office,Technology,Accessories,TEC-AC-10003832,500,620,3,4,4335
237,02-01-2022,Standard Class,Corporate,Office Supplies,Paper,OFF-PA-10002479,10,10,2,4,5082
238,19-01-2022,Second Class,Consumer,Office Supplies,Paper,OFF-PA-10003349,30,30,5,4,360
239,13-12-2023,Second Class,Consumer,Furniture,Furnishings,FUR-FU-10000576,340,420,5,2,4413
240,20-01-2023,Second Class,Consumer,Furniture,Furnishings,FUR-FU-10004351,10,10,3,2,4057
241,25-04-2023,Second Class,Consumer,Technology,Phones,TEC-PH-10000011,30,30,2,3,758
242,27-05-2023,Second Class,Consumer,Furniture,Tables,FUR-TA-10002607,150,180,5,3,2371
243,08-11-2022,Second Class,Consumer,Furniture,Furnishings,FUR-FU-10002505,0,0,3,4,431
244,08-01-2022,Second Class,Consumer,Office Supplies,Art,OFF-AR-10004685,10,10,2,3,2241
245,20-04-2022,Second Class,Home Office,Furniture,Chairs,FUR-CH-10004063,1620,2000,7,2,154
246,09-11-2022,Second Class,Home Office,Office Supplies,Storage,OFF-ST-10002276,150,170,2,4,590
247,29-04-2023,Second Class,Home Office,Office Supplies,Paper,OFF-PA-10004082,40,50,6,5,4018
248,28-04-2023,Second Class,Home Office,Office Supplies,Appliances,OFF-AP-10002945,1380,1500,5,5,4339
249,26-09-2022,Second Class,Home Office,Office Supplies,Paper,OFF-PA-10000061,20,30,4,3,3030
250,18-08-2023,Second Class,Consumer,Furniture,Chairs,FUR-CH-10002965,300,320,2,5,3471
251,19-09-2023,Standard Class,Consumer,Office Supplies,Paper,OFF-PA-10004569,10,10,1,3,2050
252,28-05-2022,Standard Class,Consumer,Technology,Accessories,TEC-AC-10003832,3050,3350,13,4,688
253,03-04-2022,First Class,Consumer,Office Supplies,Storage,OFF-ST-10001228,70,80,6,5,3543
254,18-04-2022,First Class,Consumer,Office Supplies,Envelopes,OFF-EN-10003296,330,360,4,4,2465
255,25-12-2022,Standard Class,Corporate,Furniture,Furnishings,FUR-FU-10002505,10,10,9,2,2049
256,26-11-2022,Standard Class,Corporate,Office Supplies,Storage,OFF-ST-10004804,70,80,2,2,3843
257,25-04-2022,Standard Class,Corporate,Office Supplies,Storage,OFF-ST-10001590,40,50,5,2,4722
258,08-04-2023,Standard Class,Corporate,Technology,Phones,TEC-PH-10001580,590,650,6,4,799
259,10-02-2022,Second Class,Consumer,Technology,Accessories,TEC-AC-10000290,20,20,3,5,555
260,20-10-2022,Second Class,Consumer,Office Supplies,Storage,OFF-ST-10002790,180,220,3,4,5056
261,11-06-2022,Second Class,Consumer,Office Supplies,Binders,OFF-BI-10003460,20,20,5,5,2281
262,29-08-2023,Standard Class,Corporate,Office Supplies,Appliances,OFF-AP-10002203,0,0,2,2,294
263,26-12-2022,Second Class,Corporate,Technology,Machines,TEC-MA-10000822,2690,3060,3,3,2244
264,14-06-2022,Second Class,Corporate,Technology,Machines,TEC-MA-10003353,2170,2520,7,3,750
265,20-06-2023,Standard Class,Consumer,Technology,Phones,TEC-PH-10001433,300,330,4,3,158
266,17-11-2022,Standard Class,Consumer,Technology,Accessories,TEC-AC-10004469,70,80,2,4,1282
267,25-10-2023,Standard Class,Corporate,Office Supplies,Art,OFF-AR-10003602,10,10,3,5,962
268,19-05-2022,Standard Class,Consumer,Office Supplies,Fasteners,OFF-FA-10003472,10,10,6,2,1159
