Customer ID,Age,Gender,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
275,59,Male,32,Maryland,M,Indigo,Spring,3,Yes,Yes,28,Cash,Bi-Weekly
1402,23,Male,59,Indiana,M,Blue,Fall,3.5,No,Yes,1,PayPal,Weekly
1181,23,Male,23,Oregon,S,Beige,Spring,4.9,No,Yes,34,Cash,Monthly
2130,40,Male,57,Minnesota,L,Orange,Fall,2.8,No,No,12,PayPal,Every 3 Months
995,53,Male,68,New York,L,Violet,Fall,3.2,Yes,Yes,20,Debit Card,Monthly
1230,34,Male,52,Kansas,XL,Maroon,Winter,3.6,No,Yes,39,Bank Transfer,Annually
4319,47,Other,,Houston,,Green,Summer,,Yes,Yes,28,PayPal,Monthly
4489,36,Female,748.61,Los Angeles,L,Red,Summer,,No,No,0,PayPal,Monthly
4708,33,Female,,New York,,Green,Winter,4,Yes,Yes,31,Debit Card,Quarterly
4827,20,Female,,Houston,,Green,Summer,,No,No,17,Debit Card,Monthly
1348,44,Male,95,Vermont,M,Cyan,Summer,3.9,No,Yes,47,Bank Transfer,Monthly
4584,55,Female,,New York,M,Black,Autumn,5,No,Yes,,Debit Card,Quarterly
3116,26,Female,53,South Dakota,M,Charcoal,Fall,4.1,No,No,9,Bank Transfer,Bi-Weekly
1168,60,Male,83,New Jersey,XL,Beige,Summer,3.6,No,Yes,16,PayPal,Quarterly
3685,29,Female,86,Pennsylvania,L,Charcoal,Spring,4.4,No,No,47,Credit Card,Bi-Weekly
4111,49,Male,,Houston,M,Black,Summer,,No,No,,PayPal,Weekly
2850,56,Female,25,New Hampshire,M,Gold,Spring,4.1,No,No,27,PayPal,Bi-Weekly
1636,68,Male,24,North Carolina,L,Violet,Summer,3.2,No,Yes,40,Cash,Annually
1489,23,Male,44,Hawaii,L,Pink,Winter,4,No,Yes,37,Credit Card,Weekly
3827,50,Female,31,Montana,M,Gray,Summer,4,No,No,25,Bank Transfer,Annually
2417,59,Male,83,Nebraska,S,Black,Summer,4,No,No,26,Credit Card,Every 3 Months
2832,34,Female,53,Virginia,L,Pink,Winter,5,No,No,4,Credit Card,Weekly
4607,47,Other,557.24,Los Angeles,L,White,Autumn,,No,Yes,27,PayPal,Weekly
2367,30,Male,66,New Mexico,L,Brown,Winter,3.6,No,No,32,Credit Card,Fortnightly
4851,42,Female,,Chicago,L,Blue,Autumn,,No,Yes,,Cash,Weekly
508,65,Male,20,Maine,M,Magenta,Spring,5,Yes,Yes,33,Debit Card,Fortnightly
4845,19,Female,692.11,New York,M,Red,Summer,,No,Yes,41,Debit Card,Weekly
2098,33,Male,43,Iowa,S,Cyan,Winter,3.9,No,No,5,Credit Card,Weekly
1080,18,Male,33,Oklahoma,S,Blue,Summer,4.4,No,Yes,48,Bank Transfer,Monthly
4558,41,Other,208.02,Los Angeles,M,White,Autumn,,No,Yes,,PayPal,Monthly
4492,59,Female,,Phoenix,M,Green,Spring,1,Yes,Yes,38,Debit Card,Weekly
4292,27,Other,,Houston,,Blue,Summer,,Yes,Yes,,Credit Card,Weekly
3036,69,Female,64,Kentucky,M,Gold,Spring,4.5,No,No,18,Cash,Bi-Weekly
3554,62,Female,99,Minnesota,M,Charcoal,Spring,4.9,No,No,32,Bank Transfer,Weekly
2077,59,Male,23,Florida,S,Indigo,Fall,4.6,No,No,22,Debit Card,Bi-Weekly
3088,62,Female,84,North Carolina,M,Charcoal,Spring,3.1,No,No,29,Bank Transfer,Monthly
3739,34,Female,45,Delaware,M,Brown,Spring,2.7,No,No,48,Cash,Fortnightly
3309,55,Female,70,Utah,M,Pink,Fall,2.6,No,No,29,Cash,Monthly
2922,20,Female,24,Wisconsin,M,Cyan,Fall,4.6,No,No,11,Cash,Fortnightly
4156,51,Other,1398.9,Chicago,XL,Red,Summer,2,Yes,No,7,PayPal,Monthly
4869,26,Female,500.3,Phoenix,M,Red,Winter,3,No,No,,PayPal,Monthly
660,62,Male,52,Virginia,S,Gold,Spring,3.6,Yes,Yes,8,Cash,Weekly
3632,48,Female,50,New Jersey,M,Peach,Fall,2.9,No,No,26,Credit Card,Monthly
3217,39,Female,85,Illinois,S,Olive,Winter,3.4,No,No,18,Cash,Weekly
3696,38,Female,33,Florida,M,White,Fall,4.6,No,No,18,Bank Transfer,Fortnightly
146,24,Male,95,Missouri,M,Teal,Fall,4.5,Yes,Yes,44,Debit Card,Quarterly
693,35,Male,95,North Dakota,M,Cyan,Spring,4,Yes,Yes,40,Debit Card,Every 3 Months
1837,66,Male,52,South Carolina,M,Teal,Fall,4.2,No,No,35,Credit Card,Monthly
598,70,Male,69,Alaska,L,Gold,Summer,3.4,Yes,Yes,19,Bank Transfer,Fortnightly
165,59,Male,65,Delaware,S,Purple,Spring,2.6,Yes,Yes,5,Credit Card,Fortnightly
1186,47,Male,64,Maine,M,Magenta,Spring,3.9,No,Yes,29,Credit Card,Monthly
3328,47,Female,64,Connecticut,M,Black,Spring,4.1,No,No,2,Debit Card,Quarterly
4404,67,Male,498.03,New York,XL,Blue,Winter,,Yes,Yes,20,Debit Card,Monthly
4153,67,Other,,Los Angeles,M,Red,Spring,,No,No,31,Credit Card,Monthly
4587,52,Male,1392.02,Phoenix,,White,Winter,2,Yes,Yes,,Cash,Quarterly
4057,41,Female,,Los Angeles,,Black,Winter,,No,Yes,10,Credit Card,Quarterly
3889,45,Female,69,Virginia,M,Violet,Spring,3.4,No,No,14,Venmo,Bi-Weekly
106,69,Male,96,New York,M,Charcoal,Fall,3.6,Yes,Yes,4,Bank Transfer,Annually
4176,23,Male,390.25,Chicago,XL,Black,Autumn,,No,No,,Credit Card,Weekly
63,30,Male,21,Mississippi,S,Magenta,Spring,3.8,Yes,Yes,31,Credit Card,Fortnightly
3455,55,Female,71,Louisiana,S,Lavender,Fall,4.6,No,No,15,PayPal,Bi-Weekly
2500,52,Male,73,Louisiana,L,Pink,Summer,3.1,No,No,2,Cash,Quarterly
2136,34,Male,94,California,S,Yellow,Winter,4.6,No,No,1,Debit Card,Every 3 Months
3584,52,Female,77,Arizona,L,Brown,Summer,2.7,No,No,44,Credit Card,Every 3 Months
4118,18,Other,,Phoenix,S,Black,Summer,3,Yes,No,,Debit Card,Quarterly
2547,63,Male,21,Texas,L,Gray,Summer,3,No,No,4,Credit Card,Quarterly
4972,46,Other,34.65,New York,M,White,Autumn,4,No,Yes,3,Debit Card,Monthly
3365,50,Female,33,Oregon,M,Peach,Fall,3.2,No,No,7,Credit Card,Monthly
1637,58,Male,22,North Dakota,L,Green,Fall,4,No,Yes,49,Cash,Fortnightly
2000,39,Male,89,Tennessee,L,Indigo,Winter,4.6,No,No,26,Debit Card,Monthly
2603,65,Male,44,South Carolina,M,Black,Fall,2.9,No,No,1,Venmo,Quarterly
2700,25,Female,96,Utah,M,Violet,Fall,3.6,No,No,49,Debit Card,Annually
4189,38,Male,1312.35,Los Angeles,M,Black,Autumn,4,Yes,Yes,,Cash,Weekly
3371,30,Female,31,Illinois,M,Charcoal,Summer,2.8,No,No,46,Cash,Fortnightly
3599,23,Female,76,Connecticut,XL,Purple,Spring,4.6,No,No,19,Bank Transfer,Bi-Weekly
4072,63,Male,,Los Angeles,S,Red,Autumn,1,No,Yes,,Credit Card,Quarterly
1432,39,Male,88,South Dakota,M,Cyan,Fall,2.9,No,Yes,29,Venmo,Quarterly
2381,41,Male,66,Pennsylvania,M,Black,Fall,2.5,No,No,36,PayPal,Fortnightly
2120,58,Male,57,Nebraska,M,Indigo,Spring,3.5,No,No,36,Venmo,Bi-Weekly
3502,53,Female,87,Nebraska,M,Silver,Fall,4.8,No,No,43,Bank Transfer,Weekly
3551,63,Female,74,West Virginia,S,Orange,Winter,4.8,No,No,32,Cash,Weekly
712,64,Male,60,New Hampshire,M,Maroon,Spring,3.5,Yes,Yes,13,Bank Transfer,Bi-Weekly
1337,23,Male,85,Oregon,M,Charcoal,Spring,4.8,No,Yes,44,Debit Card,Fortnightly
1047,40,Male,22,Illinois,M,Magenta,Winter,4.2,Yes,Yes,12,Venmo,Annually
2225,18,Male,25,Nebraska,L,Charcoal,Winter,4.3,No,No,38,Cash,Quarterly
3525,69,Female,74,Michigan,L,Silver,Summer,2.9,No,No,30,Credit Card,Monthly
4530,20,Male,532.49,New York,,Black,Autumn,,Yes,Yes,,Debit Card,Monthly
3199,61,Female,94,Pennsylvania,L,Peach,Winter,2.8,No,No,39,Debit Card,Weekly
70,48,Male,70,Tennessee,S,Cyan,Summer,4.4,Yes,Yes,5,Cash,Weekly
2721,55,Female,52,Maryland,M,Peach,Spring,2.8,No,No,45,Bank Transfer,Quarterly
436,51,Male,28,Montana,XL,Olive,Winter,3.6,Yes,Yes,42,Bank Transfer,Monthly
387,64,Male,39,Louisiana,L,Brown,Spring,3.4,Yes,Yes,40,PayPal,Quarterly
3867,58,Female,32,Alaska,M,Beige,Winter,3.3,No,No,33,Credit Card,Fortnightly
3358,41,Female,67,Arkansas,M,Pink,Winter,3.5,No,No,37,Credit Card,Monthly
608,47,Male,23,Indiana,L,Purple,Fall,2.8,Yes,Yes,44,Cash,Monthly
115,70,Male,95,Massachusetts,S,Blue,Summer,3.7,Yes,Yes,9,Cash,Weekly
4712,60,Male,95.15,Chicago,S,Red,Summer,,No,No,16,Cash,Monthly
5058,63,Other,1342.62,Los Angeles,,Blue,Spring,4,Yes,Yes,,PayPal,Quarterly
2568,19,Male,25,Michigan,XL,Gold,Spring,4.3,No,No,24,Cash,Fortnightly
4381,53,Female,,Chicago,M,Blue,Summer,3,No,Yes,,PayPal,Monthly
4192,46,Other,105.21,Houston,,Green,Winter,,Yes,Yes,,PayPal,Monthly
235,20,Male,39,South Dakota,S,Silver,Summer,3.7,Yes,Yes,24,Credit Card,Weekly
3699,25,Female,54,California,XL,Maroon,Spring,4,No,No,4,Venmo,Annually
3215,53,Female,78,Washington,M,Yellow,Spring,3.1,No,No,6,Debit Card,Annually
1876,63,Male,71,Tennessee,M,Brown,Winter,3.9,No,No,6,Credit Card,Quarterly
1625,38,Male,32,Florida,M,White,Winter,3.6,No,Yes,40,PayPal,Every 3 Months
1396,47,Male,32,West Virginia,L,Turquoise,Spring,2.8,No,Yes,40,PayPal,Bi-Weekly
9,26,Male,97,West Virginia,L,Silver,Summer,2.6,Yes,Yes,8,Venmo,Annually
2168,30,Male,48,Ohio,L,Green,Winter,4.9,No,No,33,Venmo,Fortnightly
749,35,Male,39,South Dakota,L,Brown,Fall,3.9,Yes,Yes,8,Bank Transfer,Quarterly
2507,57,Male,82,New York,XL,Orange,Spring,4.4,No,No,19,Venmo,Annually
1285,65,Male,93,Arkansas,M,Black,Spring,3.9,No,Yes,38,PayPal,Fortnightly
4047,49,Male,,Phoenix,,White,Summer,5,Yes,No,,Cash,Weekly
5014,60,Female,,Phoenix,S,Green,Winter,2,Yes,Yes,44,Debit Card,Monthly
1195,50,Male,46,New York,S,Teal,Winter,3.1,No,Yes,6,Credit Card,Fortnightly
2013,48,Male,53,Nevada,L,Green,Fall,3.2,No,No,5,Cash,Fortnightly
4076,57,Other,,Phoenix,M,White,Summer,2,No,No,38,Credit Card,Weekly
2050,68,Male,24,Rhode Island,L,Blue,Fall,2.7,No,No,15,Venmo,Annually
1306,31,Male,56,Mississippi,XL,Peach,Spring,4.5,No,Yes,2,PayPal,Every 3 Months
5024,38,Other,,Los Angeles,,Green,Summer,,Yes,Yes,,Debit Card,Quarterly
3170,35,Female,59,Georgia,M,White,Fall,3.8,No,No,3,Venmo,Weekly
1116,30,Male,58,New York,S,Peach,Fall,4,No,Yes,37,Cash,Weekly
2317,28,Male,39,Montana,L,Yellow,Winter,3.8,No,No,7,Debit Card,Annually
728,62,Male,97,Arkansas,S,Gray,Winter,4.8,Yes,Yes,37,Venmo,Every 3 Months
467,38,Male,24,Vermont,L,Turquoise,Winter,4.6,Yes,Yes,25,PayPal,Weekly
4235,56,Other,,New York,S,Red,Spring,,Yes,Yes,,Debit Card,Quarterly
656,20,Male,36,Mississippi,S,Purple,Fall,3.1,Yes,Yes,19,Venmo,Monthly
4542,28,Other,,Houston,,Red,Summer,,Yes,No,,PayPal,Weekly
99,20,Male,67,New York,XL,Teal,Spring,2.6,Yes,Yes,20,Bank Transfer,Annually
3681,22,Female,36,Iowa,S,Blue,Winter,2.9,No,No,30,Debit Card,Quarterly
3715,18,Female,31,New York,S,Peach,Winter,3.9,No,No,35,Credit Card,Weekly
2726,64,Female,99,Mississippi,S,Violet,Summer,2.7,No,No,4,Debit Card,Annually
2544,27,Male,56,West Virginia,L,Peach,Spring,2.7,No,No,30,PayPal,Bi-Weekly
2834,43,Female,56,Arkansas,M,Teal,Fall,3.3,No,No,19,Cash,Monthly
1084,35,Male,97,Washington,L,Teal,Summer,3.3,No,Yes,43,Cash,Weekly
2904,38,Female,39,Delaware,S,Teal,Spring,3.5,No,No,24,Credit Card,Every 3 Months
964,21,Male,63,South Carolina,L,Green,Spring,2.5,Yes,Yes,14,Credit Card,Weekly
299,69,Male,53,Maryland,M,Lavender,Winter,4,Yes,Yes,11,Venmo,Every 3 Months
1327,40,Male,50,Texas,M,Indigo,Spring,,No,Yes,17,Cash,Monthly
2789,56,Female,92,Rhode Island,M,Olive,Summer,3.1,No,No,2,Credit Card,Annually
2321,28,Male,55,New Mexico,M,Olive,Spring,3.7,No,No,9,Debit Card,Every 3 Months
79,50,Male,91,Nebraska,M,Maroon,Spring,4.7,Yes,Yes,50,Venmo,Fortnightly
771,19,Male,54,Vermont,M,Gray,Spring,3.3,Yes,Yes,8,Credit Card,Annually
1543,59,Male,44,Hawaii,M,Maroon,Winter,3.5,No,Yes,43,PayPal,Weekly
2223,32,Male,66,Georgia,M,Teal,Summer,4.4,No,No,30,Credit Card,Weekly
3461,41,Female,78,Indiana,M,Gold,Spring,3.1,No,No,5,Bank Transfer,Bi-Weekly
1952,33,Male,53,Connecticut,L,Gold,Summer,2.7,No,No,32,Bank Transfer,Bi-Weekly
4552,57,Male,,New York,S,Red,Winter,,No,No,,PayPal,Quarterly
1645,68,Male,90,North Carolina,S,Beige,Summer,3.9,No,Yes,21,Debit Card,Monthly
510,41,Male,80,Delaware,L,Cyan,Summer,3.9,Yes,Yes,17,Debit Card,Weekly
2854,37,Female,48,Pennsylvania,M,Magenta,Winter,3.2,No,No,9,PayPal,Weekly
378,63,Male,32,Maine,M,Silver,Spring,4.1,Yes,Yes,39,Credit Card,Every 3 Months
827,54,Male,94,Massachusetts,M,Purple,Winter,3.6,Yes,Yes,36,PayPal,Weekly
4571,40,Other,450.41,New York,,Black,Autumn,5,Yes,Yes,,Cash,Quarterly
546,33,Male,32,Alabama,L,Magenta,Summer,3.5,Yes,Yes,48,Debit Card,Annually
2085,32,Male,94,Vermont,S,Brown,Summer,4,No,No,43,Bank Transfer,Quarterly
641,53,Male,88,Minnesota,M,Gray,Summer,4.4,Yes,Yes,28,Debit Card,Fortnightly
5037,41,Female,,New York,S,Green,Summer,2,Yes,Yes,,Credit Card,Monthly
4843,22,Female,854.96,Los Angeles,,Red,Winter,,No,Yes,32,PayPal,Quarterly
1771,53,Male,22,Michigan,M,Pink,Fall,4.3,No,No,34,Bank Transfer,Weekly
1861,18,Male,64,Kansas,M,Silver,Summer,4.8,No,No,4,Credit Card,Monthly
4011,50,Female,,Los Angeles,S,Blue,Winter,3,No,Yes,,Debit Card,Quarterly
2915,45,Female,72,Pennsylvania,M,Yellow,Fall,3.8,No,No,1,Debit Card,Bi-Weekly
5009,35,Male,585.1,New York,M,Green,Autumn,4,Yes,Yes,41,Credit Card,Quarterly
5083,42,Other,758.1,Houston,,White,Autumn,,No,No,48,PayPal,Quarterly
2990,46,Female,20,Rhode Island,XL,Teal,Summer,4.3,No,No,6,Credit Card,Weekly
4079,28,Male,1438.53,Chicago,,White,Spring,1,Yes,Yes,15,Cash,Monthly
2056,28,Male,33,Texas,M,Silver,Fall,3.4,No,No,28,Bank Transfer,Weekly
1994,32,Male,96,Arkansas,S,Purple,Spring,5,No,No,17,Cash,Weekly
4257,60,Other,,Houston,XL,Green,Winter,,Yes,No,11,Cash,Quarterly
2347,22,Male,67,New Mexico,L,Brown,Winter,3.1,No,No,46,Debit Card,Fortnightly
3063,51,Female,96,California,L,Green,Fall,3.3,No,No,39,PayPal,Monthly
1967,67,Male,95,Indiana,XL,Purple,Winter,3.7,No,No,5,Credit Card,Fortnightly
2131,25,Male,68,Arizona,L,Violet,Summer,3.7,No,No,33,Credit Card,Annually
4171,23,Male,495.98,Phoenix,M,Green,Autumn,,Yes,No,,Debit Card,Weekly
818,25,Male,21,Nevada,S,Gray,Spring,4.7,Yes,Yes,30,PayPal,Fortnightly
3336,44,Female,94,Texas,XL,Cyan,Winter,3.5,No,No,48,Bank Transfer,Quarterly
2100,31,Male,78,Oklahoma,L,Green,Summer,2.9,No,No,50,PayPal,Annually
383,28,Male,76,California,M,Peach,Winter,3.2,Yes,Yes,47,PayPal,Quarterly
4991,29,Other,1366.1,Los Angeles,M,Green,Spring,2,Yes,Yes,,Debit Card,Weekly
1592,18,Male,100,South Dakota,L,Gold,Winter,2.9,No,Yes,24,PayPal,Annually
4077,33,Male,,New York,L,Green,Spring,,No,Yes,40,Debit Card,Weekly
3127,57,Female,76,Maine,L,Lavender,Winter,2.6,No,No,28,Bank Transfer,Bi-Weekly
3759,61,Female,54,Indiana,S,Black,Spring,2.7,No,No,23,Bank Transfer,Quarterly
1877,54,Male,36,Illinois,M,Gray,Fall,2.6,No,No,20,Venmo,Quarterly
4896,24,Female,,New York,L,White,Winter,3,No,Yes,,Debit Card,Quarterly
1564,68,Male,44,Kansas,M,Teal,Fall,4.3,No,Yes,8,Cash,Weekly
1610,33,Male,93,Nevada,S,Brown,Fall,4.1,No,Yes,3,Venmo,Monthly
148,63,Male,64,Idaho,M,Purple,Summer,3.5,Yes,Yes,31,Bank Transfer,Fortnightly
2946,32,Female,49,Delaware,M,Charcoal,Summer,4.8,No,No,1,Credit Card,Every 3 Months
149,37,Male,90,Wyoming,M,Gray,Fall,2.6,Yes,Yes,47,Debit Card,Annually
5095,57,Female,,New York,S,Red,Spring,2,No,No,24,Debit Card,Weekly
2564,69,Male,81,Massachusetts,XL,Gray,Winter,4.5,No,No,1,Venmo,Every 3 Months
470,21,Male,46,Alabama,L,Pink,Fall,4.1,Yes,Yes,30,Debit Card,Bi-Weekly
2027,37,Male,35,Maine,M,Orange,Winter,3.6,No,No,45,Bank Transfer,Every 3 Months
2957,52,Female,88,Montana,M,Olive,Fall,3.7,No,No,30,Venmo,Monthly
1995,33,Male,66,Nevada,M,Brown,Fall,2.9,No,No,24,Credit Card,Weekly
4933,44,Other,,Chicago,S,Green,Summer,3,Yes,Yes,,Cash,Monthly
111,56,Male,26,New York,M,Black,Summer,4,Yes,Yes,26,Venmo,Fortnightly
1010,39,Male,30,Louisiana,M,Silver,Summer,3.1,Yes,Yes,11,Venmo,Annually
4355,46,Female,585.85,New York,M,Green,Spring,4,No,No,41,PayPal,Quarterly
4743,65,Female,772.94,New York,XL,Red,Summer,,Yes,Yes,50,Cash,Monthly
585,70,Male,94,Indiana,M,White,Spring,4.7,Yes,Yes,20,Debit Card,Monthly
976,58,Male,40,Washington,M,Olive,Summer,3.8,Yes,Yes,2,Bank Transfer,Weekly
2287,67,Male,38,South Dakota,L,Blue,Spring,2.5,No,No,35,Venmo,Quarterly
1978,24,Male,49,Florida,M,Teal,Summer,2.6,No,No,32,Bank Transfer,Annually
4741,23,Male,,Houston,M,White,Spring,,No,Yes,,Credit Card,Quarterly
2228,40,Male,74,Washington,S,Gray,Summer,4.4,No,No,42,Credit Card,Fortnightly
2019,60,Male,97,Arkansas,S,Gold,Fall,4.5,No,No,20,Bank Transfer,Weekly
5027,39,Male,1430.07,Houston,,Blue,Winter,2,No,No,,Cash,Weekly
5082,56,Female,1186.98,Chicago,M,Black,Autumn,,Yes,No,,Credit Card,Weekly
4249,19,Other,,Houston,L,Red,Spring,,Yes,Yes,,Cash,Quarterly
638,21,Male,20,Tennessee,M,Cyan,Winter,3.4,Yes,Yes,46,Cash,Fortnightly
3357,39,Female,48,Tennessee,M,Silver,Summer,3.5,No,No,13,PayPal,Bi-Weekly
777,49,Male,60,Alabama,M,Maroon,Spring,5,Yes,Yes,8,Venmo,Every 3 Months
2439,32,Male,20,Delaware,S,Cyan,Winter,3.4,No,No,30,Venmo,Weekly
2690,29,Female,35,Wyoming,M,Orange,Fall,3.9,No,No,47,PayPal,Quarterly
2552,29,Male,32,Minnesota,M,Maroon,Winter,4.1,No,No,40,Debit Card,Annually
4424,69,Other,1223.83,Chicago,M,Blue,Autumn,1,No,Yes,2,Debit Card,Quarterly
4214,34,Other,,Phoenix,S,Red,Autumn,1,Yes,No,15,PayPal,Monthly
3526,45,Female,38,Wyoming,L,Olive,Winter,3.5,No,No,47,Bank Transfer,Annually
406,41,Male,74,South Carolina,S,Silver,Summer,3.8,Yes,Yes,15,Cash,Annually
2326,44,Male,55,New York,M,Charcoal,Summer,4.4,No,No,47,Cash,Weekly
2934,27,Female,52,Illinois,M,Brown,Summer,3.8,No,No,28,Venmo,Monthly
116,53,Male,94,Wyoming,M,Gray,Spring,3.8,Yes,Yes,48,Debit Card,Every 3 Months
3208,67,Female,29,Arizona,XL,Beige,Summer,2.7,No,No,14,PayPal,Annually
1841,42,Male,98,Wyoming,M,Gold,Winter,2.6,No,No,46,Bank Transfer,Every 3 Months
583,40,Male,77,Colorado,L,Turquoise,Spring,4.9,Yes,Yes,2,Bank Transfer,Quarterly
1698,36,Male,87,South Carolina,L,Lavender,Fall,3.5,No,No,48,Credit Card,Every 3 Months
739,56,Male,31,Minnesota,L,Orange,Winter,3.5,Yes,Yes,27,Venmo,Quarterly
3142,36,Female,30,Mississippi,S,Peach,Winter,4.9,No,No,47,Credit Card,Bi-Weekly
3538,57,Female,92,Georgia,M,Gray,Spring,3.5,No,No,40,Credit Card,Every 3 Months
2249,63,Male,66,Rhode Island,M,Violet,Winter,3.4,No,No,19,PayPal,Fortnightly
4557,51,Other,187.34,Los Angeles,S,Blue,Spring,,Yes,Yes,,PayPal,Weekly
1054,59,Male,70,Kansas,M,Blue,Spring,3.3,No,Yes,10,Debit Card,Bi-Weekly
346,48,Male,59,Wyoming,S,Olive,Winter,4.4,Yes,Yes,27,Bank Transfer,Annually
1387,68,Male,56,Oregon,M,Silver,Fall,4,No,Yes,4,Debit Card,Quarterly
1399,30,Male,45,Texas,M,Cyan,Summer,2.5,No,Yes,25,Credit Card,Weekly
1900,32,Male,40,New York,L,Maroon,Winter,4.2,No,No,42,PayPal,Weekly
2323,39,Male,84,Connecticut,S,Lavender,Spring,4.5,No,No,21,Venmo,Fortnightly
2750,64,Female,53,Vermont,M,Cyan,Spring,3.4,No,No,15,Bank Transfer,Annually
922,70,Male,24,South Dakota,L,Silver,Summer,4.1,Yes,Yes,18,PayPal,Weekly
78,22,Male,53,Delaware,L,Gold,Summer,3.3,Yes,Yes,36,Debit Card,Fortnightly
651,34,Male,40,Florida,M,Magenta,Spring,3.9,Yes,Yes,12,Bank Transfer,Annually
1933,42,Male,36,Maryland,M,White,Spring,5,No,No,47,Credit Card,Every 3 Months
1747,65,Male,44,Alabama,L,Brown,Summer,3.1,No,No,44,Bank Transfer,Fortnightly
27,38,Male,20,Nevada,M,Red,Spring,3.6,Yes,Yes,13,Credit Card,Annually
325,37,Male,82,Wyoming,M,Olive,Summer,4.8,Yes,Yes,37,Venmo,Quarterly
